utterance,intent,intent1
change child passport number,staff_info_update.update_dependant_info,419
change contact number,staff_info_update.update_contact_info_and_address,418
change cf contribution rate,payroll.how_do_i_change_my_cpf_contribution_rate,231
change display pick,people_hub.how_to_change_my_photo_in_people_hub,299
change goal,performance_and_development.how_to_add_or_edit_my_goals,350
change hobby detail hr,staff_info_update.update_dependant_info,419
change internal mobility application info,internal_mobility.how_to_amend_or_withdraw_im_submission,94
change ki submitting bos,performance_and_development.how_to_add_or_edit_my_goals,350
change medical benefit,medical.can_i_change_my_medical_insurance_coverage,157
change medical expense submission,medical.how_to_cancel_or_amend_medical_claim,167
change particular people hub,people_hub.update_personal_info_in_people_hub,328
change payroll bank account cbc,staff_info_update.how_can_i_change_my_salary_crediting_account,411
change personal info health,ihealth.update_my_profile_in_ihealth_app,89
change picture weekday,people_hub.how_to_change_my_photo_in_people_hub,299
change profile pick,people_hub.how_to_change_my_photo_in_people_hub,299
change name health portal,ihealth.update_my_profile_in_ihealth_app,89
change leave date,people_hub.how_to_correct_or_cancel_my_leave_in_people_hub,303
change mailing address,staff_info_update.update_contact_info_and_address,418
change people hub photo,people_hub.how_to_change_my_photo_in_people_hub,299
change personal particular,staff_info_update.personal_info_update,417
change phone number,staff_info_update.update_contact_info_and_address,418
change photo,people_hub.how_to_change_my_photo_in_people_hub,299
change pick,people_hub.how_to_change_my_photo_in_people_hub,299
change pick hr record,people_hub.how_to_change_my_photo_in_people_hub,299
change pick new hr system,people_hub.how_to_change_my_photo_in_people_hub,299
change picture,people_hub.how_to_change_my_photo_in_people_hub,299
change picture new arm sys,people_hub.how_to_change_my_photo_in_people_hub,299
change recommendation completed compensation proposal,compensation.can_i_amend_submitted_comp_review_proposals,0
change residential address work day system,people_hub.how_to_update_contact_info_in_people_hub,312
change resignation date,people_hub.how_to_amend_termination_date,295
change son detail,staff_info_update.update_dependant_info,419
change spouse passport,staff_info_update.update_dependant_info,419
change spouse passport number,staff_info_update.update_dependant_info,419
change date review document,performance_and_development.performance_review_date,375
change type job role,future_of_work.what_roles_are_impacted_due_to_future_of_work,41
change adoption leave,leave.leave_guidelines,150
changing resident address people hub,people_hub.how_to_update_contact_info_in_people_hub,312
changing role,internal_mobility.internal_mobility,97
check annual leave applied august,leave.leaves_of_direct_reports,151
check bank detail,payroll.how_to_generate_my_payslip,240
check completion status credit certification,training.track_status_of_credit_certification_training,483
check compliance hour,training.training_hours,487
check cpd hour,training.training_hours,487
check current leave balance,leave.can_i_take_leave,140
check hr leave guideline,leave.leave_guidelines,150
check hr leave policy,leave.leave_guidelines,150
check latest salary,payroll.how_to_generate_my_payslip,240
check leave,leave.can_i_take_leave,140
check leave detail,leave.can_i_take_leave,140
check leave entitlement,leave.can_i_take_leave,140
check leave status,leave.leaves_of_direct_reports,151
check leaf,leave.can_i_take_leave,140
check db skillsflex credit,training.how_do_i_check_my_skillsflex_balance,464
check july 2020 payslip,payroll.how_to_generate_my_payslip,240
check leave,leave.can_i_take_leave,140
check payroll,payroll.how_to_generate_my_payslip,240
check remaining leave,leave.can_i_take_leave,140
check scheduled leave,leave.leaves_of_direct_reports,151
check submitted outside appointment,people_hub.how_to_view_outside_appointment_in_people_hub,323
check number leave,leave.can_i_take_leave,140
check leaf balance,leave.can_i_take_leave,140
check referral status referred one candidate db,employee_referral_programme.one_name_each_guide,31
check outpatient medical credit,medical.outpatient_medical_credit,180
check platform medical,medical.medical,175
check remaining course need complete credit certification curriculum,training.track_status_of_credit_certification_training,483
check salary credited peoplehub,people_hub.how_to_view_my_payslip_in_people_hub,320
check skillsflex credit,training.how_do_i_check_my_skillsflex_balance,464
check staff birthday,people_hub.how_to_view_team_members_birthday_in_people_hub,324
check training enrolment status,training.how_do_i_get_the_confirmation_that_my_course_enrolment_is_successful,465
check training hour,training.training_hours,487
check flex balance snapshot,iflex.can_i_know_what_is_my_iflex_entitlement,62
checklist complete year end appraisal,performance_and_development.how_to_start_my_pd_year-end_review,362
checkpoint video disappear,ihealth.can_i_save_the_checkpoint_videos_to_watch_later,78
cheque book fee waiver,iprivileges.waiver_for_non-salary_crediting_account,123
child detail missing enrolment portal,medical.discrepancy_with_staff_or_dependant_info_in_medical_portal,162
child marry leave,leave.leave_guidelines,150
child wedding leave,leave.leave_guidelines,150
child wedding lv,leave.leave_guidelines,150
childbirth medical claim,medical.can_i_claim_maternity_-_related_expenses_from_my_insurance_coverage,158
childcare cash gift,medical.how_to_claim_baby_bonus,168
childcare fee,iflex.what_can_be_claimed_against_iflex,75
childcare leave balance,leave.can_i_take_leave,140
childcare leave entitlement,leave.can_i_take_leave,140
china visa letter business,standard_letter_request.can_i_request_dbs_to_generate_visa_letter_for_me,433
chinese physician,medical.tcm_generic,182
chinese since,medical.tcm_generic,182
chiropractic claim,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
chiropractic session claim using flex,iflex.what_can_be_claimed_against_iflex,75
christmas eve,general_benefits.festive_early_release,47
christmas 2020,leave.list_of_public_holidays,152
christmas half day,general_benefits.festive_early_release,47
christmas working hour,general_benefits.festive_early_release,47
ccc exam format,training.how_to_enrol_for_certificate_of_commercial_credit,472
circumcised leave,leave.leave_guidelines,150
claim oil,leave.how_do_i_claim_my_public_holiday_off-in-lieu,147
claim allowance,payroll.how_to_submit_ot_and_allowances,243
claim course fee,training.training_claims,484
claim diploma course fee,training.how_to_submit_gesp_claim,474
claim eligibility,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
claim family leave,leave.can_i_take_leave,140
claim flex spending money,iflex.how_to_submit_iflex_claim,69
claim cfa,training.how_to_submit_gesp_claim,474
claim health screening,iflex.health_screening_claim,68
claim cpa expense,training.how_to_submit_gesp_claim,474
claim dependent,medical.how_to_submit_medical_claim,171
claim nonpanel,medical.how_do_i_go_about_paying_my_medical_bills,166
claim professional membership fee,training.training_claims,484
claim sport watch,iflex.what_can_be_claimed_against_iflex,75
claim spouse,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
claim esp,training.how_to_submit_gesp_claim,474
claim medical,medical.how_to_submit_medical_claim,171
claim medical bill,medical.how_to_submit_medical_claim,171
claim medical fee,medical.how_to_submit_medical_claim,171
claim medical dependent,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
claim medical reimbursement,medical.how_to_submit_medical_claim,171
claim medicine,medical.how_to_submit_medical_claim,171
claim monitor flex,iflex.what_can_be_claimed_against_iflex,75
claim ot,payroll.how_to_submit_ot_and_allowances,243
claim time,payroll.who_can_claim_ot,284
claim process learner attend external program paid,training.external_training_process,459
claim training cost,training.training_claims,484
claim training expense,training.training_claims,484
claim credited pay,iflex.when_will_i_receive_my_iflex_reimbursement,76
claim without medical card,medical.how_do_i_go_about_paying_my_medical_bills,166
claim work accident,medical.who_can_i_contact_if_i_injured_myself_at_work,190
claiming degree course,training.how_to_submit_gesp_claim,474
claiming flex overseas spending expense,iflex.can_i_submit_overseas_claim_under_iflex,63
claiming nosed flex,iflex.can_i_submit_overseas_claim_under_iflex,63
claiming working chart flex,iflex.what_can_be_claimed_against_iflex,75
clicked submit yr end review accident,performance_and_development.how_to_manually_retrieve_the_yer,356
clinic claim,medical.how_to_submit_medical_claim,171
clinic detail,medical.where_can_i_view_the_list_of_panel_clinics,189
blocking health step,ihealth.what_is_the_daily_step_caps,91
close bank ac,iprivileges.waiver_for_non-salary_crediting_account,123
close pdr document last year,performance_and_development.must_I_acknowledge_my_pd_yer,369
cm claim eligibility,training.how_to_claim_cmfas_exam,470
co pay medical bill,medical.why_is_the_medical_co-payment_not_claimable,191
co payment,medical.why_is_there_a_medical_-_related_deduction_in_my_pay_slip,192
co payment panel doctor,medical.how_do_i_go_about_paying_my_medical_bills,166
borrower,iprivileges.staff_home_loan,118
payment claim,medical.why_is_the_medical_co-payment_not_claimable,191
payment deduction reflected payslip,medical.why_is_there_a_medical_-_related_deduction_in_my_pay_slip,192
payment medical expense,medical.why_is_the_medical_co-payment_not_claimable,191
coin deposit fee waiver,iprivileges.waiver_for_non-salary_crediting_account,123
coin deposit machine waiver staff,iprivileges.waiver_for_non-salary_crediting_account,123
