,utterance,intent,intent1,pred_idx,pred_values,top_p1,top_p2,top_p3,top_class1,top_class2,top_class3,predictions1,predictions2,predictions3
2050,where can i find hr stuff,general_benefits.who_is_my_hr_rm,51,51,general_benefits.who_is_my_hr_rm,0.8954822421073914,0.009735822677612305,0.005289677530527115,51,48,312,general_benefits.who_is_my_hr_rm,general_benefits.hr_circulars,people_hub.how_to_update_contact_info_in_people_hub
2051,apply for maternity leave,leave.does_maternity___paternity_leave_include_weekend___non-working_days___ph,146,140,leave.can_i_take_leave,0.984818160533905,0.005494561046361923,0.0013840150786563754,140,150,329,leave.can_i_take_leave,leave.leave_guidelines,people_hub.what_is_my_leave_balance
2052,early pay for cony,payroll.festive_early_pay,229,229,payroll.festive_early_pay,0.8816879987716675,0.010799694806337357,0.005805319640785456,229,283,47,payroll.festive_early_pay,payroll.when_will_i_get_my_pay,general_benefits.festive_early_release
2053,update reporting manager,staff_info_update.change_in_reporting_manager,408,408,staff_info_update.change_in_reporting_manager,0.5162703990936279,0.03461724519729614,0.021804941818118095,408,19,212,staff_info_update.change_in_reporting_manager,cwms.assignment_amendments_in_cwms,onboarding.new_hire_profile
2054,early pay for cony,payroll.festive_early_pay,229,229,payroll.festive_early_pay,0.8816879987716675,0.010799694806337357,0.005805319640785456,229,283,47,payroll.festive_early_pay,payroll.when_will_i_get_my_pay,general_benefits.festive_early_release
2055,prolong medical leave,medical.medical_certificate,176,140,leave.can_i_take_leave,0.68880295753479,0.2677127420902252,0.004476630128920078,140,150,329,leave.can_i_take_leave,leave.leave_guidelines,people_hub.what_is_my_leave_balance
2056,prolong medical leave,medical.medical_certificate,176,140,leave.can_i_take_leave,0.68880295753479,0.2677127420902252,0.004476630128920078,140,150,329,leave.can_i_take_leave,leave.leave_guidelines,people_hub.what_is_my_leave_balance
2057,link to people hub,people_hub.dbs_people_hub,290,290,people_hub.dbs_people_hub,0.7386680841445923,0.009046690538525581,0.006407678592950106,290,318,210,people_hub.dbs_people_hub,people_hub.how_to_update_national_id_or_government_id_in_people_hub,onboarding.login_access_to_taleo
2058,how to book spark studio,training.dbs_academy_rooms,454,454,training.dbs_academy_rooms,0.15694379806518555,0.043973494321107864,0.027364498004317284,454,443,480,training.dbs_academy_rooms,training.accessing_dbs_learning_hub,training.my_manager_would_like_to_attend_this_training_course__can_i_sign_up_on_his_her_behalf_in_dbs_learning_hub
2059,unable to download payslip,payroll.how_to_generate_my_payslip,240,240,payroll.how_to_generate_my_payslip,0.9019290804862976,0.026351016014814377,0.004028392024338245,240,283,256,payroll.how_to_generate_my_payslip,payroll.when_will_i_get_my_pay,payroll.ns_make_up_pay
2060,pd rating,performance_and_development.how_to_review_and_acknowledge_yer,359,362,performance_and_development.how_to_start_my_pd_year-end_review,0.5523932576179504,0.06001166254281998,0.05976945906877518,362,353,359,performance_and_development.how_to_start_my_pd_year-end_review,performance_and_development.how_to_complete_manager_yer_evaluation,performance_and_development.how_to_review_and_acknowledge_yer
2061,not able to access,internal_mobility.internal_mobility_system_escalation,101,101,internal_mobility.internal_mobility_system_escalation,0.13090482354164124,0.09377364814281464,0.05705464258790016,101,216,210,internal_mobility.internal_mobility_system_escalation,onboarding.when_will_the_new_hire_1bank_id_be_ready,onboarding.login_access_to_taleo
2062,how to claim management corporation,medical.medical_certificate,176,171,medical.how_to_submit_medical_claim,0.1170724481344223,0.06189872696995735,0.03868900239467621,171,266,473,medical.how_to_submit_medical_claim,payroll.transport_reimbursement,training.how_to_submit_gesp_claim
2063,how to transfer outlook email from one account to another,internal_mobility.internal_mobility_application_process,98,312,people_hub.how_to_update_contact_info_in_people_hub,0.04047487676143646,0.030682316049933434,0.023436782881617546,312,195,19,people_hub.how_to_update_contact_info_in_people_hub,offboarding.cannot_trigger_3_tasks_after_tendering_resignation,cwms.assignment_amendments_in_cwms
2064,after submit the resignation letter how i edit the effective date,people_hub.how_to_amend_termination_date,295,295,people_hub.how_to_amend_termination_date,0.5327479243278503,0.03572355583310127,0.030047181993722916,295,308,195,people_hub.how_to_amend_termination_date,people_hub.how_to_rescind_retract_resignation_in_people_hub,offboarding.cannot_trigger_3_tasks_after_tendering_resignation
2065,how do i get doa approval detail,people_hub.how_to_approve_resignation_in_people_hub,298,18,cwms.approvals_and_delegation_in_cwms,0.2671964466571808,0.03238489478826523,0.029985245317220688,18,424,297,cwms.approvals_and_delegation_in_cwms,standard_letter_request.can_i_request_dbs_to_generate_a_pr_letter_for_me,people_hub.how_to_approve_outside_appointment_in_people_hub
2066,facility,general_benefits.benefits,44,454,training.dbs_academy_rooms,0.0773475393652916,0.06667863577604294,0.031115401536226273,454,213,184,training.dbs_academy_rooms,onboarding.new_hire_staff_pass,medical.what_is_an_e-card
2067,can not activate staff corporate card,iprivileges.corporate_credit_card,104,104,iprivileges.corporate_credit_card,0.5374845266342163,0.1218787282705307,0.08477692306041718,104,116,184,iprivileges.corporate_credit_card,iprivileges.personal_credit_cards_application,medical.what_is_an_e-card
2068,application form for staff corporate card,iprivileges.corporate_credit_card,104,104,iprivileges.corporate_credit_card,0.5130006670951843,0.12158726155757904,0.09578663110733032,104,184,116,iprivileges.corporate_credit_card,medical.what_is_an_e-card,iprivileges.personal_credit_cards_application
2069,re activate staff corporate card,iprivileges.corporate_credit_card,104,104,iprivileges.corporate_credit_card,0.46955329179763794,0.1204930767416954,0.11815110594034195,104,184,116,iprivileges.corporate_credit_card,medical.what_is_an_e-card,iprivileges.personal_credit_cards_application
2070,machine setup how to book room,training.dbs_academy_rooms,454,454,training.dbs_academy_rooms,0.5818864703178406,0.020403627306222916,0.01208015251904726,454,75,213,training.dbs_academy_rooms,iflex.what_can_be_claimed_against_iflex,onboarding.new_hire_staff_pass
2071,claim train expense,training.training_claims,483,266,payroll.transport_reimbursement,0.31203803420066833,0.07866352796554565,0.024632619693875313,266,171,150,payroll.transport_reimbursement,medical.how_to_submit_medical_claim,leave.leave_guidelines
2072,support,general_benefits.benefits,44,491,training.what_is_eap,0.22294554114341736,0.013980788178741932,0.013433657586574554,491,45,431,training.what_is_eap,general_benefits.daycare_partners_reimbursement_policy,standard_letter_request.can_i_request_dbs_to_generate_testimonial
2073,invested,onboarding.onboarding,214,241,payroll.how_to_submit_my_investment_declaration,0.17492374777793884,0.08564832806587219,0.079678013920784,241,394,242,payroll.how_to_submit_my_investment_declaration,shares.how_can_i_find_out_the_price_of_a_dbsh_share,payroll.how_to_submit_my_investment_proofs
2074,how to opt our of dbs share program,shares.how_can_i_find_out_the_price_of_a_dbsh_share,394,406,shares.what_is_ishares,0.21346674859523773,0.1462104171514511,0.10418152809143066,406,395,393,shares.what_is_ishares,shares.how_does_ishares_work,shares.eligibility_criteria_for_ishares
2075,how many day of leave can be carry forward,leave.can_i_carry_forward_my_leave,139,139,leave.can_i_carry_forward_my_leave,0.9295212030410767,0.015592952258884907,0.00936899520456791,139,329,149,leave.can_i_carry_forward_my_leave,people_hub.what_is_my_leave_balance,leave.leave_encashment
2076,new hire survey,onboarding.onboarding,214,212,onboarding.new_hire_profile,0.09042743593454361,0.034995049238204956,0.02150825783610344,212,21,15,onboarding.new_hire_profile,cwms.cwf_pre_employment_screening,compensation.what_is_market_benchmarking
2077,tel co benefit,general_benefits.benefits,44,44,general_benefits.benefits,0.12591174244880676,0.027596410363912582,0.02293192595243454,44,51,377,general_benefits.benefits,general_benefits.who_is_my_hr_rm,performance_and_development.request_for_hr_intervention_during_pdr
2078,apply half day medical leave,leave.when_can_i_start_my_compassionate_leave,155,140,leave.can_i_take_leave,0.986636221408844,0.0031609516590833664,0.0015742158284410834,140,150,329,leave.can_i_take_leave,leave.leave_guidelines,people_hub.what_is_my_leave_balance
2079,the eve of chinese new year,general_benefits.festive_early_release,47,47,general_benefits.festive_early_release,0.8766995668411255,0.05194084718823433,0.006756759248673916,47,152,229,general_benefits.festive_early_release,leave.list_of_public_holidays,payroll.festive_early_pay
2080,cony early,escalation.escalation_cases,32,47,general_benefits.festive_early_release,0.7378036975860596,0.03565803915262222,0.010921775363385677,47,229,152,general_benefits.festive_early_release,payroll.festive_early_pay,leave.list_of_public_holidays
2081,offer contract,onboarding.letter_of_appointment,209,209,onboarding.letter_of_appointment,0.273237019777298,0.0906088724732399,0.041078995913267136,209,24,102,onboarding.letter_of_appointment,cwms.cwms_new_request,internal_mobility.job_posting_notification_in_dbs_recruiting_hub
2082,how to request for new soft phone,onboarding.onboarding,214,417,staff_info_update.update_contact_info_and_address,0.3392016887664795,0.13633328676223755,0.05614199489355087,417,312,51,staff_info_update.update_contact_info_and_address,people_hub.how_to_update_contact_info_in_people_hub,general_benefits.who_is_my_hr_rm
2083,how can i apply for a corporate card,iprivileges.corporate_credit_card,104,104,iprivileges.corporate_credit_card,0.5117232203483582,0.11067719757556915,0.09431461244821548,104,184,116,iprivileges.corporate_credit_card,medical.what_is_an_e-card,iprivileges.personal_credit_cards_application
2084,i have log in one tap but why i still pin to continue,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318,216,onboarding.when_will_the_new_hire_1bank_id_be_ready,0.2075665146112442,0.03659225255250931,0.02092130109667778,216,211,101,onboarding.when_will_the_new_hire_1bank_id_be_ready,onboarding.new_hire_1bank_password,internal_mobility.internal_mobility_system_escalation
2085,child,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318,418,staff_info_update.update_dependant_info,0.5934732556343079,0.047167181968688965,0.030314218252897263,418,174,150,staff_info_update.update_dependant_info,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,leave.leave_guidelines
2086,ot or allowance claim,payroll.how_to_submit_ot_and_allowances,243,284,payroll.who_can_claim_ot,0.8236904144287109,0.04448525980114937,0.01774255745112896,284,237,243,payroll.who_can_claim_ot,payroll.how_to_compute_overtime,payroll.how_to_submit_ot_and_allowances
2087,can not get into i share,shares.how_to_join_ishares,398,398,shares.how_to_join_ishares,0.3129807710647583,0.0554853118956089,0.0373372882604599,398,393,406,shares.how_to_join_ishares,shares.eligibility_criteria_for_ishares,shares.what_is_ishares
2088,can i en cash annual leave,leave.leave_encashment,149,149,leave.leave_encashment,0.48725706338882446,0.21971343457698822,0.11008009314537048,149,329,140,leave.leave_encashment,people_hub.what_is_my_leave_balance,leave.can_i_take_leave
2089,en cash lease,leave.leave_encashment,149,227,payroll.documents_required_for_rental_reimbursement,0.28070127964019775,0.14364175498485565,0.0950203388929367,227,233,276,payroll.documents_required_for_rental_reimbursement,payroll.how_to_apply_for_rental_reimbursement_scheme,payroll.what_is_rental_reimbursement
2090,how to view my team comp e letter,compensation.how_to_view_my_team_compensation_eletters,10,9,compensation.how_to_view_my_compensation_eletter,0.24073196947574615,0.11719171702861786,0.0924375057220459,9,10,8,compensation.how_to_view_my_compensation_eletter,compensation.how_to_view_my_team_compensation_eletters,compensation.how_to_access_the_year-end_comp_review
2091,hr hot line,general_benefits.who_is_my_hr_rm,51,51,general_benefits.who_is_my_hr_rm,0.9422492980957031,0.00331108714453876,0.002963207196444273,51,312,48,general_benefits.who_is_my_hr_rm,people_hub.how_to_update_contact_info_in_people_hub,general_benefits.hr_circulars
2092,how to submit a claim,training.training_claims,483,171,medical.how_to_submit_medical_claim,0.8874669075012207,0.007240410894155502,0.0063874791376292706,171,69,177,medical.how_to_submit_medical_claim,iflex.how_to_submit_iflex_claim,medical.medical_claim_status
2093,how to upload management corporation,medical.medical_certificate,176,208,onboarding.how_to_upload_documents_after_onboarding,0.45634061098098755,0.07192344218492508,0.04287507385015488,208,96,210,onboarding.how_to_upload_documents_after_onboarding,internal_mobility.how_to_upload_attachments_in_dbs_recruiting_hub,onboarding.login_access_to_taleo
2094,dbs hr training team,training.can_managers_enroll_staff_for_courses,449,51,general_benefits.who_is_my_hr_rm,0.09176153689622879,0.06834588199853897,0.02283286862075329,51,480,26,general_benefits.who_is_my_hr_rm,training.my_manager_would_like_to_attend_this_training_course__can_i_sign_up_on_his_her_behalf_in_dbs_learning_hub,cwms.managed_service_or_resource_tracking_in_cwms
2095,chinese new year eve early release,general_benefits.festive_early_release,47,47,general_benefits.festive_early_release,0.9173352718353271,0.019076479598879814,0.006991404574364424,47,152,229,general_benefits.festive_early_release,leave.list_of_public_holidays,payroll.festive_early_pay
